"","group","subject","activity","bod_acc_x_mean","bod_acc_x_sd","bod_acc_y_mean","bod_acc_y_sd","bod_acc_z_mean","bod_acc_z_sd","bod_gyro_x_mean","bod_gyro_x_sd","bod_gyro_y_mean","bod_gyro_y_sd","bod_gyro_z_mean","bod_gyro_z_sd","tot_acc_x_mean","tot_acc_x_sd","tot_acc_y_mean","tot_acc_y_sd","tot_acc_z_mean","tot_acc_z_sd"
"1","train",1,"WALKING",-5.04911990559208e-05,0.234058718798068,-0.000128854135947368,0.192036192876551,-0.000938320109560033,0.136044441423488,-0.014599858215148,0.45985363965785,0.00217139307711349,0.725986538121282,-0.00061430490753125,0.319696326243837,0.997061180921053,0.23378539979963,-0.263882523646155,0.191739621328648,-0.0733891163883255,0.133966527713571
"2","train",1,"WALKING_UPSTAIRS",-0.00455728508969634,0.210649733952865,-0.00357455272079452,0.172083493458208,0.00363560725781545,0.179347574968938,0.0806764951158314,0.397353194448768,-0.041460951730513,0.771021791087134,-0.0123806836501887,0.241011997940092,0.962941935097288,0.209745791348213,-0.347215722982459,0.17093087840909,-0.0759891528358196,0.172723044524338
"3","train",1,"WALKING_DOWNSTAIRS",0.00239312484429209,0.335820111647736,0.00378679923166454,0.167189157504342,0.000244930193343431,0.141229260033076,-0.0076353937466199,0.471955432268037,-0.00749376960210459,0.670840732859185,0.00166069456162309,0.426036816820326,0.997136499202806,0.334941472830986,-0.244431799830995,0.166103564623642,-0.0663263184201658,0.138368913785752
"4","train",1,"SITTING",-0.00336698807718783,0.00877516327212643,0.00830296874545219,0.014795485474323,0.00124322219354089,0.0137970869453339,-0.0182292707113541,0.0212638251967032,-0.0079394077457631,0.0275448758334021,-0.0103572343574678,0.0303825616620587,0.920397420977394,0.00643952334553033,0.230512473086769,0.00757854629084948,0.322026273969415,0.00852214668286485
"5","train",1,"STANDING",0.000276532436453538,0.00278760408941231,0.000524808830951651,0.00628322136869698,-0.000757860253643455,0.00661267528408157,0.0038027338948237,0.0127904042283176,0.00674630111015065,0.0113160050883798,-0.00510396859477624,0.0114833845047604,1.00285410551297,0.00240496533963273,-0.254059246948703,0.00454028390308829,0.00697522471600118,0.00469359516138964
"6","train",1,"LAYING",-0.0115358889115141,0.0246841037708149,-0.0122609074114397,0.0294009160006173,-0.00161731865601312,0.0342011438556489,0.0114704403783495,0.110497687012038,0.00444869266497344,0.0389334992799377,0.0275984349941828,0.0463194464771353,0.148162573229063,0.0187708886877333,0.710454980704781,0.0250628292996524,0.430974251735484,0.0271813617308652
"7","test",2,"WALKING",-0.000236823526445975,0.188528888393092,-0.0007640919728125,0.159070478017434,0.000927358610169756,0.106337660894935,-0.0261456554122987,0.383499132581955,0.0117845148574828,0.355462307927335,-0.00154868120596663,0.253424024895245,0.981170597153072,0.188171748734608,-0.328878587927701,0.158581002063011,0.0786663049567929,0.105503326052467
"8","test",2,"WALKING_UPSTAIRS",-0.00626711601526693,0.227617910397239,-0.00224174608150846,0.191206767826497,-0.0146031169508174,0.162551883390518,-0.0309573604757487,0.489254730617862,0.0190761039483724,0.410561819369577,-0.007743288215625,0.407070940864231,0.888648334407552,0.22629463386882,-0.399876286108333,0.188259493487135,-0.212631736700791,0.160385083391903
"9","test",2,"WALKING_DOWNSTAIRS",8.15666749335119e-06,0.341607555646886,-0.00289702140073138,0.21754604608099,-0.00280964498676695,0.164395209145517,-0.0910397032603723,0.592549535054394,0.031386088491999,0.450080760338003,0.00479812537430186,0.351008097602589,0.945216230834442,0.340762356882886,-0.310210784831449,0.216306347259154,-0.0514648999197763,0.162313124179805
"10","test",2,"SITTING",-0.000100652413850713,0.00561699172670152,0.000760627952901495,0.0100166984180684,-0.000300818998898777,0.0101771546541166,-0.0183536569299141,0.0140358378155498,0.0065063506496678,0.0179811279502734,-0.0199630489963625,0.0214090321316834,1.00072676413043,0.00362190051375059,-0.0866806083192255,0.0070548600337749,0.189468410155231,0.00699843698956742
"11","test",2,"STANDING",6.91830141262442e-05,0.00554154797647469,-0.000672778292970197,0.00898959068042512,0.000792520785668692,0.011997724594436,0.00393201028634795,0.0251382581705134,-0.0034766182422254,0.0237026211945054,0.000664936673678241,0.0191614686505401,0.970098432566551,0.0046808701712508,-0.352213310112847,0.00750920091469995,0.122773797442708,0.00840610884896009
"12","test",2,"LAYING",0.000782620459907878,0.00965586547510681,-0.000535310148371875,0.00508417429192279,0.00035083131030599,0.00576174294376124,0.00948662885829163,0.0118532233607084,-0.0169135999761123,0.0155101521606499,0.0259136753102604,0.021255060154347,-0.0240110246144531,0.00574303669883118,0.769108206608073,0.00408192526447673,0.630486895328776,0.00487795772601116
"13","train",3,"WALKING",-0.000413872830590652,0.209300737016813,-2.02621447764008e-05,0.160560830930506,-0.00144266983757813,0.112942297787109,0.00209813659221444,0.37462955204629,-0.00161440306505657,0.335781063395773,-0.00220595817404903,0.255433715415999,0.997605530253233,0.208920868643966,-0.243620709883459,0.160001856249346,-0.142689099779429,0.111760915688341
"14","train",3,"WALKING_UPSTAIRS",-0.0034530665892214,0.224860711973646,-0.00801077242356991,0.174678341449109,-0.000580482469830508,0.11618274577668,0.103003805232336,0.474740592126877,-0.0293182022684719,0.321460787005721,-0.02866763644067,0.247867333123726,0.95710298628178,0.224037914576891,-0.372323638454714,0.171851220194644,-0.166233946183615,0.112445503984672
"15","train",3,"WALKING_DOWNSTAIRS",0.00305982842274872,0.307610746870782,-0.0011629786873023,0.166946389505199,-0.00258729414628584,0.11789671851588,-0.107155483487921,0.644315738418223,0.0272718476380166,0.348631194972821,0.0165944493262564,0.272523339484761,1.00288336409598,0.306872589881211,-0.211648083832015,0.16566015978357,-0.108696300631404,0.113834153347732
